neighbourhood_group,neighbourhood,Number_of_Listings,Number_of_Hosts,Number_of_Neighbours,Average_Price,Average_Number_of_Nights,Average_Number_of_Reviews,Average_number_of_Reviews_per_Month,AVerage_Host_List_Count,Average_Availability
Staten Island,Randall Manor,17,10,1,75.53,2,20,1.6,2,266
Staten Island,Richmondtown,1,1,1,78,3,79,2.56,1,300
Staten Island,Rosebank,7,7,1,111.86,2,30,3.81,1,175
Staten Island,Rossville,1,1,1,75,3,21,1.69,1,59
Staten Island,Shore Acres,3,3,1,105,3,48,1.44,1,178
Staten Island,Silver Lake,2,2,1,70,2,118,4.34,1,162
Staten Island,South Beach,8,7,1,89.25,2,11,1.74,2,182
Staten Island,St. George,35,27,1,102.31,2,56,2.03,2,188
Staten Island,Stapleton,24,17,1,84.88,2,43,2.29,2,223
Staten Island,Todt Hill,4,3,1,169,5,4,0.88,2,89
Staten Island,Tompkinsville,40,23,1,77.25,2,60,2.21,2,217
Staten Island,Tottenville,5,4,1,160.8,2,27,1.15,1,228
Staten Island,West Brighton,16,8,1,66.25,5,41,1.44,2,264
Staten Island,Westerleigh,2,2,1,71.5,2,9,0.51,1,112
Staten Island,Willowbrook,1,1,1,249,4,9,0.8,2,351
